tweet,user,location,date
RT @cta: [Major Delays] Loop-bound Orange Line trains are standing at Pulaski due to a door problem. Crews working to restore service. More…,transit_tweets,,2019-11-08 00:39:59
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,ChiCleanCities,"Chicago, IL",2019-11-08 00:36:55
@cta Lake Street Redline Stop smells awful. How about a little bleach and a power wash?,powens33,,2019-11-08 00:36:34
RT @cta: [Significant Delays] Loop-bound Orange Line trains are standing at Pulaski due to a door problem. Crews working to restore service.,transit_tweets,,2019-11-08 00:34:02
@byldonovan @cta Love this,KatieSabo6,,2019-11-08 00:29:09
There are few things more satisfying than a @cta train pulling into the station just as you hit the platform. 🙌🏻 #blueline #cta #chicago #el,BrittanyJLadd,"Chicago, Illinois",2019-11-08 00:21:04
RT @cta: @allisonraekane Thanks for letting us know! We always like hearing about those who go above and beyond!,transit_tweets,,2019-11-08 00:20:35
@cta bus 1864 needs to get it together,94_MRD,"Chicago, IL",2019-11-08 00:19:24
RT @cta: [Major Delays] 63rd-bound Green and Loop-bound Pink Line trains are running w/residual delays and congestion following earlier pol…,transit_tweets,,2019-11-08 00:17:57
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,Robin_Volpi,"Chicago, IL",2019-11-08 00:17:54
"hey people who handle the @cta twitter, sorry you have folks shouting at you all the time when the social media tea… https://t.co/0pUL4Kpw03",swordearring,"Chicago, IL",2019-11-08 00:17:04
"RT @activetrans: ""Ride-hailing companies like @Uber and @lyft, and their allies, are suggesting the tax really targets minorities. In fact,…",chrisisme,"Chicago, IL",2019-11-08 00:16:09
@cta This is from someone being sick? https://t.co/HxZB6Dx5AV,DukeGasum,,2019-11-08 00:15:20
@JanelBrandon12 @cta thank you :),DashBarkHuss,"Chicago, IL",2019-11-08 00:14:29
@cta @lorenzosorice Lmao y’all called that a 15 minute delay 😂😂,Air_Ric92,IL,2019-11-08 00:13:04
RT @cta: [Major Delays] 63rd-bound Green and Loop-bound Pink Line trains are running w/residual delays and congestion following earlier pol…,huskeeman82,"Chicago, IL",2019-11-08 00:13:02
@Daaance_Ki @cta Fam! And I see why folks getting sick. Got me nauseous as hell over here lol,need4sneed,,2019-11-08 00:12:49
@need4sneed @cta 😂😂😂 get em sis!!,Daaance_Ki,,2019-11-08 00:11:43
@cta @tripleA325 @beanslyog Nah. You’re just a woefully mismanaged company that refuses to update to modern times.,nheitzman,Chicago,2019-11-08 00:08:32
RT @cta: [Major Delays] 63rd-bound Green and Loop-bound Pink Line trains are running w/residual delays and congestion following earlier pol…,TotalTrafficCHI,"Chicago, IL",2019-11-08 00:08:01
RT @cta: [Major Delays] 63rd-bound Green and Loop-bound Pink Line trains are running w/residual delays and congestion following earlier pol…,MikePTraffic,"Chicago, IL",2019-11-08 00:07:58
RT @cta: [Significant Delays] 63rd-bound Green and Loop-bound Pink Line trains are standing at Ashland due to signal problems. Crews workin…,transit_tweets,,2019-11-08 00:05:32
"@cta get your SHIT TOGETHER, Blue Line got held up for an hour over a “sick customer”? This leg of my trip is 25 mi… https://t.co/y3etc2Lj0r",gracieharper,Chicago,2019-11-08 00:04:49
@cta How are we still standing at and between every stop?,MikeDwyer22,Chicago,2019-11-08 00:04:34
"I’m finna light y’all ho asses up. First you said it was a sick passenger at Jackson, now it’s a door problem at Cl… https://t.co/oTfpoVw7s1",need4sneed,,2019-11-08 00:02:58
@cta This is fucking ridiculous.,MikeDwyer22,Chicago,2019-11-08 00:02:33
@cta @CTABlueLn Give us a heads up when they're running proper. Elephant and Castle isnt going anywhere if ya need… https://t.co/m1bFI4Ud6M,ParzivalVg,,2019-11-08 00:02:20
@cta the blue line is a disaster as it is in general. Constant delays aren’t surprising. But it’s freezing outside… https://t.co/EYJTAtyjlo,Barak_OBalva,,2019-11-07 23:57:37
"@beanslyog @cta Stop blaming it on one event, you are garbage daily. Never a smooth commute",FarguyRyan,,2019-11-07 23:57:14
@tripleA325 @cta Wouldn’t that be called a “medical emergency”? Calling it a “sick customer” makes it seem less serious,donjenny,Chicago,2019-11-07 23:56:34
"@cta From Monroe BL: 2 min ETA, after waiting 15 switched to delayed, then resumed 15min afterwards. Totally in 30+… https://t.co/EmZIXv4GbZ",lorenzosorice,Chicago,2019-11-07 23:56:17
RT @cta: [Significant Delays] 63rd-bound Green and Loop-bound Pink Line trains are standing at Ashland due to signal problems. Crews workin…,TotalTrafficCHI,"Chicago, IL",2019-11-07 23:55:45
@donjenny @cta Unfortunately when someone collapses on the blue line there’s not much you can do but wait for the paramedics.,tripleA325,"Chicago, IL",2019-11-07 23:55:39
RT @cta: [Significant Delays] 63rd-bound Green and Loop-bound Pink Line trains are standing at Ashland due to signal problems. Crews workin…,MikePTraffic,"Chicago, IL",2019-11-07 23:55:37
@CJCARL55 @cta grow up,foucault_45,west logan square,2019-11-07 23:54:50
RT @cta: [Significant Delays] 63rd-bound Green Line trains are standing near California due to police activity. Crews working to restore se…,transit_tweets,,2019-11-07 23:54:44
