Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT289479,5/10/2011 19:45,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT289489,5/10/2011 20:30,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT289875,5/11/2011 1:30,009XX W FULLERTON AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1812,43,08B,1169415,1916136,2011,41.92538826,-87.6529067,"(41.925388257, -87.652906704)",51,21190,68,769,34,16,14,149
HT289648,5/10/2011 22:20,007XX S CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA PLATFORM,FALSE,TRUE,1533,24,08B,1144505,1896498,2011,41.87200532,-87.74493347,"(41.872005323, -87.744933466)",36,22216,26,61,7,32,25,137
HT279500,5/4/2011 15:30,003XX S STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,123,2,6,1176426,1898874,2011,41.87786497,-87.62766695,"(41.877864969, -87.627666954)",48,14912,38,367,10,29,22,126
HT291002,5/11/2011 17:20,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT290964,5/11/2011 16:28,002XX W GARFIELD BLVD,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,934,3,08B,1175647,1868500,2011,41.79453381,-87.63143854,"(41.794533814, -87.631438536)",12,21559,66,166,9,37,23,117
HT291196,5/11/2011 19:30,002XX S WABASH AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,123,42,26,1176845,1899365,2011,41.87920284,-87.62611365,"(41.879202837, -87.626113652)",22,14912,38,367,36,29,22,126
HT291154,5/11/2011 19:30,012XX N CLARK ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,1821,42,18,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT291234,5/11/2011 20:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
