,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
193,Lawrence,40770,Lawrence,False,True,False,False,False,False,False,False,False,False,40.0,22616,31.0,634.0,39.0
194,Library,40850,Harold Washington Library-State-Van Buren,True,False,False,False,True,False,False,False,False,False,48.0,14913,38.0,92.0,10.0
195,Library,40850,Harold Washington Library-State-Van Buren,True,False,False,False,False,False,True,False,True,True,48.0,14913,38.0,92.0,10.0
196,Linden,41050,Linden,True,False,False,False,False,True,True,False,False,False,,9857,,,
197,Linden,41050,Linden,True,False,False,False,False,True,True,False,False,False,,9857,,,
198,Logan Square,41020,Logan Square,True,False,True,False,False,False,False,False,False,False,15.0,22535,23.0,72.0,12.0
199,Logan Square,41020,Logan Square,True,False,True,False,False,False,False,False,False,False,15.0,22535,23.0,72.0,12.0
200,Loyola,41300,Loyola,True,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,48.0,5.0
201,Loyola,41300,Loyola,True,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,48.0,5.0
202,Main,40270,Main,False,False,False,False,False,True,True,False,False,False,,26609,,,
203,Main,40270,Main,False,False,False,False,False,True,True,False,False,False,,26609,,,
204,Medical Center,40810,Illinois Medical District,True,False,True,False,False,False,False,False,False,False,48.0,21184,29.0,90.0,46.0
205,Medical Center,40810,Illinois Medical District,True,False,True,False,False,False,False,False,False,False,48.0,21184,29.0,90.0,46.0
206,Merchandise Mart,40460,Merchandise Mart,True,False,False,False,True,False,True,False,False,False,22.0,4446,37.0,670.0,36.0
207,Merchandise Mart,40460,Merchandise Mart,True,False,False,False,True,False,True,False,False,False,22.0,4446,37.0,670.0,36.0
208,Midway Airport,40930,Midway,True,False,False,False,False,False,False,False,False,True,35.0,21867,53.0,86.0,15.0
209,Midway Airport,40930,Midway,True,False,False,False,False,False,False,False,False,True,35.0,21867,53.0,86.0,15.0
210,Monroe-Dearborn,40790,Monroe,False,False,True,False,False,False,False,False,False,False,22.0,14311,38.0,92.0,36.0
211,Monroe-Dearborn,40790,Monroe,False,False,True,False,False,False,False,False,False,False,22.0,14311,38.0,92.0,36.0
212,Monroe-State,41090,Monroe,False,True,False,False,False,False,False,False,False,False,22.0,14311,38.0,367.0,36.0
213,Monroe-State,41090,Monroe,False,True,False,False,False,False,False,False,False,False,22.0,14311,38.0,367.0,36.0
214,Montrose-Brown,41500,Montrose,True,False,False,False,True,False,False,False,False,False,13.0,22616,6.0,225.0,18.0
215,Montrose-Brown,41500,Montrose,True,False,False,False,True,False,False,False,False,False,13.0,22616,6.0,225.0,18.0
216,Montrose-O'Hare,41330,Montrose,False,False,True,False,False,False,False,False,False,False,20.0,21869,16.0,362.0,38.0
217,Montrose-O'Hare,41330,Montrose,False,False,True,False,False,False,False,False,False,False,20.0,21869,16.0,362.0,38.0
218,Morgan-Lake,41510,Morgan,True,False,False,True,False,False,False,False,True,False,41.0,14917,29.0,63.0,46.0
219,Morgan-Lake,41510,Morgan,True,False,False,True,False,False,False,False,True,False,41.0,14917,29.0,63.0,46.0
220,Morse,40100,Morse,False,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,358.0,5.0
221,Morse,40100,Morse,False,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,358.0,5.0
222,North-Clybourn,40650,North-Clybourn,False,True,False,False,False,False,False,False,False,False,51.0,22620,37.0,108.0,11.0
223,North-Clybourn,40650,North-Clybourn,False,True,False,False,False,False,False,False,False,False,51.0,22620,37.0,108.0,11.0
224,Noyes,40400,Noyes,False,False,False,False,False,True,True,False,False,False,,26293,,,
225,Noyes,40400,Noyes,False,False,False,False,False,True,True,False,False,False,,26293,,,
226,O'Hare Airport,40890,O'Hare,True,False,True,False,False,False,False,False,False,False,34.0,16197,75.0,668.0,29.0
227,O'Hare Airport,40890,O'Hare,True,False,True,False,False,False,False,False,False,False,34.0,16197,75.0,668.0,29.0
228,Oak Park-Forest Park,40180,Oak Park,False,False,True,False,False,False,False,False,False,False,,26618,,,
229,Oak Park-Forest Park,40180,Oak Park,False,False,True,False,False,False,False,False,False,False,,26618,,,
230,Oak Park-Lake,41350,Oak Park,False,False,False,True,False,False,False,False,False,False,,26611,,,
231,Oak Park-Lake,41350,Oak Park,False,False,False,True,False,False,False,False,False,False,,26611,,,
232,Oakton-Skokie,41680,Oakton-Skokie,True,False,False,False,False,False,False,True,False,False,,9460,,,
233,Oakton-Skokie,41680,Oakton-Skokie,True,False,False,False,False,False,False,True,False,False,,9460,,,
234,Paulina,41310,Paulina,True,False,False,False,True,False,False,False,False,False,16.0,4449,57.0,239.0,18.0
235,Paulina,41310,Paulina,True,False,False,False,True,False,False,False,False,False,16.0,4449,57.0,239.0,18.0
236,Polk,41030,Polk,True,False,False,False,False,False,False,False,True,False,48.0,21184,29.0,5.0,46.0
237,Polk,41030,Polk,True,False,False,False,False,False,False,False,True,False,48.0,21184,29.0,5.0,46.0
238,Pulaski-Cermak,40150,Pulaski,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,752.0,14.0
239,Pulaski-Cermak,40150,Pulaski,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,752.0,14.0
240,Pulaski-Forest Park,40920,Pulaski,False,False,True,False,False,False,False,False,False,False,36.0,21572,27.0,675.0,14.0
241,Pulaski-Forest Park,40920,Pulaski,False,False,True,False,False,False,False,False,False,False,36.0,21572,27.0,675.0,14.0
242,Pulaski-Lake,40030,Pulaski,True,False,False,True,False,False,False,False,False,False,11.0,21572,27.0,658.0,23.0
243,Pulaski-Lake,40030,Pulaski,True,False,False,True,False,False,False,False,False,False,11.0,21572,27.0,658.0,23.0
244,Pulaski-Orange,40960,Pulaski,True,False,False,False,False,False,False,False,False,True,35.0,22248,60.0,793.0,6.0
245,Pulaski-Orange,40960,Pulaski,True,False,False,False,False,False,False,False,False,True,35.0,22248,60.0,793.0,6.0
246,Quincy-Wells,40040,Quincy-Wells,False,False,False,False,False,False,True,False,True,True,22.0,14912,38.0,92.0,36.0
247,Quincy-Wells,40040,Quincy-Wells,False,False,False,False,True,False,False,False,False,False,22.0,14912,38.0,92.0,36.0
248,Racine,40470,Racine,False,False,True,False,False,False,False,False,False,False,48.0,14917,29.0,88.0,23.0
249,Racine,40470,Racine,False,False,True,False,False,False,False,False,False,False,48.0,14917,29.0,88.0,23.0
250,Ridgeland,40610,Ridgeland,False,False,False,True,False,False,False,False,False,False,,26615,,,
251,Ridgeland,40610,Ridgeland,False,False,False,True,False,False,False,False,False,False,,26615,,,
252,Rockwell,41010,Rockwell,True,False,False,False,True,False,False,False,False,False,13.0,21849,6.0,666.0,18.0
253,Rockwell,41010,Rockwell,True,False,False,False,True,False,False,False,False,False,13.0,21849,6.0,666.0,18.0
254,Roosevelt,41400,Roosevelt,True,False,False,True,False,False,False,False,False,True,48.0,14913,34.0,374.0,9.0
255,Roosevelt,41400,Roosevelt,True,True,False,False,False,False,False,False,False,False,48.0,14913,34.0,374.0,9.0
256,Roosevelt,41400,Roosevelt,True,False,False,True,False,False,False,False,False,True,48.0,14913,34.0,374.0,9.0
